uii_code,name,region,old_region,province,old_province,city_municipality,old_city_municipality,sector,latitude,longitude,coord_status,is_multi_campus,psgc_observed_region,psgc_observed_province,psgc_observed_municity,psgc_observed_barangay
17018,Baco Community College,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Baco,Baco,Public LUC,13.3592391,121.0962813,valid,False,17,17052,1705201,1705201029
,CLCC Institute of Computer Arts & Technology,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Calapan City,Calapan City,Private,13.402932,121.1721235,valid,False,17,17052,1705205,1705205028
17010,City College of Calapan,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Calapan City,Calapan City,Public LUC,13.3792181,121.1843109,valid,False,17,17052,1705205,1705205021
04266,Clarendon College,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Roxas,Roxas,Private,12.5942819,121.5093201,valid,False,17,17052,1705212,1705212009
04016,Colegio De San Sebastian-Sablayan,MIMAROPA,Region 04-B,Occidental Mindoro,Occidental Mindoro,Sablayan,Sablayan,Private,12.8392489,120.7721694,valid,False,17,17051,1705109,1705109002
04021,Divine Word College of Calapan,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Calapan City,Calapan City,Private,13.4107809,121.175692,valid,False,17,17052,1705205,1705205061
04022,Divine Word College of San Jose,MIMAROPA,Region 04-B,Occidental Mindoro,Occidental Mindoro,San Jose,San Jose,Private,12.3529375,121.0699375,valid,False,17,17051,1705110,1705110012
04030,EMA EMITS College Philippines,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Pinamalayan,Pinamalayan,Private,13.0363616,121.4899063,valid,False,17,17052,1705209,1705209024
04029,Eastern Mindoro College,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Bongabong,Bongabong,Private,12.749915,121.4843,valid,False,17,17052,1705203,1705203035
04140,Educational Systems Technological Institute,MIMAROPA,Region 04-B,Marinduque,Marinduque,Boac,Boac,Private,13.448203,121.8361192,valid,False,17,17040,1704001,1704001040
17019,Erhard Science and Technological Institute-Oriental Mindoro,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Gloria,Gloria,Private,12.9684298,121.4877993,valid,False,17,17052,1705206,1705206028
17003,Erhard Systems Technological Institute,MIMAROPA,Region 04-B,Romblon,Romblon,Odiongan,Odiongan,Private,12.4025801,121.9803791,valid,False,17,17059,1705909,1705909026
04168,Fullbright College,MIMAROPA,Region 04-B,Palawan,Palawan,Puerto Princesa City,Puerto Princesa City,Private,9.7858707,118.7490417,valid,False,17,17315,1731500,1731500046
04034,Grace Mission College,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Socorro,Socorro,Private,13.0622,121.331001,valid,False,17,17052,1705214,1705214017
04037,Holy Trinity University,MIMAROPA,Region 04-B,Palawan,Palawan,Puerto Princesa City,Puerto Princesa City,Private,9.7414252,118.7326539,valid,False,17,17315,1731500,1731500025
04331b,Innovative College of Science and Technology,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Bongabong,Bongabong,Private,12.7563168,121.4726036,valid,False,17,17052,1705203,1705203017
17004,Institute of Business Science and Medical Arts,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Pinamalayan,Pinamalayan,Private,13.0366337,121.4825572,valid,False,17,17052,1705209,1705209015
04202,John Paul College,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Roxas,Roxas,Private,12.5961005,121.4990955,valid,False,17,17052,1705212,1705212009
04053,Luna Goco Colleges-Calapan,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Calapan City,Calapan City,Private,13.4000435,121.1703989,valid,False,17,17052,1705205,1705205028
17020,Malindig Institute Foundation,MIMAROPA,Region 04-B,Marinduque,Marinduque,SANTA CRUZ,SANTA CRUZ,Private,13.4779627,122.0317556,valid,False,17,17040,1704005,1704005030
04174,Marinduque Midwest College,MIMAROPA,Region 04-B,Marinduque,Marinduque,Gasan,Gasan,Private,13.3298386,121.844925,valid,False,17,17040,1704003,1704003013
04203,Marinduque State University-Gasan Campus,MIMAROPA,Region 04-B,Marinduque,Marinduque,Gasan,Gasan,Public SUC Satellite,13.4536229,121.8444564,valid,False,17,17040,1704001,1704001057
04058,Marinduque State University-Main Campus,MIMAROPA,Region 04-B,Marinduque,Marinduque,Boac,Boac,Public SUC Main,13.4536229,121.8444564,valid,False,17,17040,1704001,1704001057
04204,Marinduque State University-Sta. Cruz Campus,MIMAROPA,Region 04-B,Marinduque,Marinduque,SANTA CRUZ,SANTA CRUZ,Public SUC Satellite,13.4536229,121.8444564,valid,False,17,17040,1704001,1704001057
04063,Marinduque State University-Torrijos Campus,MIMAROPA,Region 04-B,Marinduque,Marinduque,Torrijos,Torrijos,Public SUC Satellite,13.3343452,122.0155491,valid,False,17,17040,1704006,1704006022
04273,Mina de Oro Institute of Science and Technology,MIMAROPA,Region 04-B,Oriental Mindoro,Oriental Mindoro,Victoria,Victoria,Private,13.1832612,121.2761074,valid,False,17,17052,1705215,1705215021
